date,flow_in_ntv,flow_out_ntv,flow_in_usd,flow_out_usd,supply_ex,active_addr
2026-01-18,8144.9269639,7909.45569465,767751643.7382735,745555808.8558866,2647267.32079033,567075.0
2026-01-19,15123.77281158,13915.28068723,1399345862.5780833,1287528627.868466,2648475.81291468,623139.0
2026-01-20,32994.13768753,23778.48786581,2911289315.0406995,2098132047.188531,2657691.4627364,640908.0
2026-01-21,31159.02175637,21885.6599267,2791828466.0177193,1960941163.6439817,2666964.82456607,698736.0
2026-01-22,26540.19077814,24583.28191602,2372578952.2743587,2197639713.2689915,2668921.73342819,612517.0
2026-01-23,20720.66718851,21895.89572797,1853251746.7696502,1958363919.258745,2667746.50488873,664123.0
2026-01-24,8599.1925957,8813.39330743,766919324.4277138,786022823.1927086,2667532.304177,562317.0
2026-01-25,12832.88114156,11547.46985102,1109347015.917745,998228774.9196693,2668817.71546754,555249.0
2026-01-26,19425.0667855,21757.09069064,1715960954.3169596,1921966010.0494356,2666485.6915624,635513.0
2026-01-27,22815.35182461,18338.29753984,2036506986.0128062,1636883416.8571494,2670962.74584717,624246.0
2026-01-28,23634.30398306,24847.85132793,2107654979.6890275,2215876449.055628,2669749.1985023,631786.0
2026-01-29,29701.58686628,26911.85554739,2510389922.6943865,2274600723.231876,2672538.92982119,681624.0
2026-01-30,36939.26148132,32308.84415564,3103527188.8904176,2714493258.869259,2677169.34714687,733411.0
2026-01-31,43872.0803216,35335.90404521,3452837378.2729106,2781019942.25006,2685705.52342326,702918.0
2026-02-01,31089.07787541,28854.9278048,2391093696.8365226,2219262863.7371674,2687939.67349387,613261.0
2026-02-02,38455.03163954,40518.77578826,3027049413.1176944,3189500339.5079,2685875.92934515,734473.0
2026-02-03,49774.41595014,48849.75959779,3767165025.354831,3697182625.671138,2686800.5856975,741467.0
2026-02-04,54977.86320503,47956.16321896,4018617437.2884874,3505364932.3994365,2693822.28568357,704812.0
2026-02-05,78885.79919256,71999.01494497,5008829242.517374,4571555022.3242655,2700709.06993116,865167.0
2026-02-06,54668.9753371,70313.4754417,3862237271.550714,4967485193.725697,2685064.56982656,856992.0
2026-02-07,22526.66827423,22632.32343667,1558085382.2289784,1565393154.6057355,2684958.91466412,645574.0
2026-02-08,13122.15680182,16333.76722416,925408474.0688807,1151899556.6803274,2681747.30424725,555675.0
2026-02-09,35733.12848254,46570.45468272,2510041513.949706,3271299758.5492015,2670909.97804707,682068.0
2026-02-10,27554.05402561,30555.24115516,1892654716.4001307,2098802638.2363415,2667908.79091752,624916.0
2026-02-11,31089.82595368,27726.15990843,2082698629.5332274,1857367594.4516234,2671272.45696277,659141.0
2026-02-12,34945.00379938,33835.64090636,2314112117.566657,2240648393.5889845,2672381.81985579,653355.0
2026-02-13,31930.51931091,33620.90500194,2198762418.5320067,2315163799.106831,2670691.43416476,684978.0
2026-02-14,16493.12560875,11238.59322375,1151188486.2641213,784432219.0890968,2675945.96654976,583422.0
2026-02-15,11167.8599321,13217.96585194,766449780.1580148,907148467.3832713,2673895.8647607,532309.0
2026-02-16,15996.25191483,16362.25982978,1099701337.2052622,1124863443.6562784,2673529.85684575,592609.0
2026-02-17,23395.62982054,19515.80525198,1578527729.2094388,1316751888.4683132,2677409.68141431,595445.0
